Imagen,Descripcion
00000243-PHOTO-2019-08-28-19-14-04.jpg,Endometritis purulenta difusa || [Revisar] Ag bacterias piogenas. Enf piometra
00000245-PHOTO-2019-08-28-19-16-44.jpg,Pericarditis fibrinosa difusa
00000246-PHOTO-2019-08-28-19-18-48.jpg,Información en la imagen 🖼️
00000247-PHOTO-2019-08-28-19-19-57.jpg,[Revisar] Ancylostoma. Ancilostomomiasis
00000249-PHOTO-2019-08-28-19-20-55.jpg,Sangre.
00000250-PHOTO-2019-08-28-19-34-17.jpg,Información en la imagen 🖼️
00000251-PHOTO-2019-08-28-19-39-46.jpg,Información en la imagen 🖼️
00000252-PHOTO-2019-08-28-19-40-10.jpg,Información en la imagen 🖼️
00000253-PHOTO-2019-08-28-19-40-44.jpg,Información en la imagen 🖼️
00000254-PHOTO-2019-08-28-19-41-32.jpg,Información en la imagen 🖼️
00000255-PHOTO-2019-08-28-20-09-56.jpg,Información en la imagen 🖼️
00000256-PHOTO-2019-08-28-20-44-13.jpg,Información en la imagen 🖼️
00000257-PHOTO-2019-08-28-20-44-51.jpg,Información en la imagen 🖼️
00000258-PHOTO-2019-08-28-20-47-15.jpg,Información en la imagen 🖼️
00000259-PHOTO-2019-08-28-20-48-33.jpg,Fibrina preparado 144
00000260-PHOTO-2019-08-28-20-48-52.jpg,Exudado hemorrágico 144
00000261-PHOTO-2019-09-02-18-22-36.jpg,Información en la imagen 🖼️
00000262-PHOTO-2019-09-02-18-24-53.jpg,Información en la imagen 🖼️
00000263-PHOTO-2019-09-02-18-27-10.jpg,Información en la imagen 🖼️
00000264-PHOTO-2019-09-02-18-29-50.jpg,Información en la imagen 🖼️
00000265-PHOTO-2019-09-02-18-38-10.jpg,Información en la imagen 🖼️
00000266-PHOTO-2019-09-02-18-39-34.jpg,Macro de la linfoadentis
00000267-PHOTO-2019-09-02-18-41-53.jpg,Información en la imagen 🖼️
00000268-PHOTO-2019-09-02-18-42-51.jpg,Macro
00000269-PHOTO-2019-09-02-18-45-56.jpg,[Revisar] Acidofila con núcleos x eso me voy cuenta
00000271-PHOTO-2019-09-02-18-47-31.jpg,Información en la imagen 🖼️
00000272-PHOTO-2019-09-02-18-53-58.jpg,Información en la imagen 🖼️
00000273-PHOTO-2019-09-02-18-55-33.jpg,Hongo
00000274-PHOTO-2019-09-02-18-57-22.jpg,Información en la imagen 🖼️
00000275-PHOTO-2019-09-02-18-58-10.jpg,Información en la imagen 🖼️
00000276-PHOTO-2019-09-02-19-02-45.jpg,Información en la imagen 🖼️
00000277-PHOTO-2019-09-02-19-08-30.jpg,[Revisar] Ziehl neelsen para ver la bacteria
00000279-PHOTO-2019-09-02-19-10-56.jpg,Información en la imagen 🖼️
00000280-PHOTO-2019-09-02-19-11-56.jpg,Información en la imagen 🖼️
00000281-PHOTO-2019-09-02-19-13-38.jpg,Información en la imagen 🖼️
00000282-PHOTO-2019-09-02-19-29-09.jpg,Información en la imagen 🖼️
00000283-PHOTO-2019-09-02-19-29-24.jpg,Información en la imagen 🖼️
00000284-PHOTO-2019-09-02-19-29-54.jpg,Información en la imagen 🖼️
00000285-PHOTO-2019-09-02-19-32-54.jpg,Otro meq de neovascularización q no está en las paulitas.
00000286-PHOTO-2019-09-02-19-36-19.jpg,Información en la imagen 🖼️
00000287-PHOTO-2019-09-02-19-39-36.jpg,Información en la imagen 🖼️
00000288-PHOTO-2019-09-02-20-08-40.jpg,Preparado doce
00000296-PHOTO-2019-09-02-20-44-37.jpg,Información en la imagen 🖼️
00000297-PHOTO-2019-09-02-20-44-44.jpg,Información en la imagen 🖼️
00000298-PHOTO-2019-09-02-20-47-13.jpg,124
00000299-PHOTO-2019-09-02-20-52-41.jpg,Información en la imagen 🖼️
00000300-PHOTO-2019-09-02-20-54-03.jpg,[Revisar] 159
00000303-PHOTO-2019-09-04-18-03-35.jpg,Información en la imagen 🖼️
00000304-PHOTO-2019-09-04-18-20-18.jpg,Hepatitis supurativa || [Revisar] Bacterias ! (Tienen pams)
00000306-PHOTO-2019-09-04-18-21-45.jpg,Información en la imagen 🖼️
00000307-PHOTO-2019-09-04-18-44-20.jpg,[Revisar] Adaptativa humoral
00000309-PHOTO-2019-09-04-19-42-42.jpg,35 pulmon
00000310-PHOTO-2019-09-04-19-44-54.jpg,Información en la imagen 🖼️
00000312-PHOTO-2019-09-04-19-56-41.jpg,Macri
00000315-PHOTO-2019-09-04-20-07-25.jpg,Macro
00000319-PHOTO-2019-09-04-20-12-37.jpg,Información en la imagen 🖼️
00000322-PHOTO-2019-09-04-20-36-54.jpg,Manguito perivascular con linfocitos en preparado 56
00000323-PHOTO-2019-09-04-20-38-51.jpg,Necrosis licuefactiva con neutrofilos y piocitos
00000324-PHOTO-2019-09-04-20-39-57.jpg,Información en la imagen 🖼️
00000325-PHOTO-2019-09-04-20-41-02.jpg,Información en la imagen 🖼️
00000326-PHOTO-2019-09-04-20-46-20.jpg,Epitelioide? Intestino 207
00000327-PHOTO-2019-09-04-20-48-26.jpg,Eosinofilo 207
00000328-PHOTO-2019-09-04-20-50-44.jpg,Periferia 79
00000329-PHOTO-2019-09-04-20-51-08.jpg,Necrosis 79
00000330-PHOTO-2019-09-04-20-52-26.jpg,Macrifagod y linfocitos
00000331-PHOTO-2019-09-04-20-53-44.jpg,Cel gigante (o epitelioide no se)
00000332-PHOTO-2019-09-04-20-54-29.jpg,Calcificación fistrofica
00000333-PHOTO-2019-09-09-18-07-18.jpg,Información en la imagen 🖼️
00000334-PHOTO-2019-09-09-18-17-11.jpg,Información en la imagen 🖼️
00000335-PHOTO-2019-09-09-18-28-17.jpg,Información en la imagen 🖼️
00000336-PHOTO-2019-09-09-19-20-08.jpg,Mitosis aberrante 28
00000337-PHOTO-2019-09-09-19-25-29.jpg,20: alto pleomorfismo (carcinoma de celulas escamosas)
00000338-PHOTO-2019-09-09-19-49-54.jpg,Papiloma cutaneo (85)
00000342-PHOTO-2019-09-09-20-16-17.jpg,Necrosis coagulativa
00000344-PHOTO-2019-09-11-18-08-29.jpg,Información en la imagen 🖼️
00000345-PHOTO-2019-09-11-18-09-09.jpg,127: Meningitis granulomatosa. Se ven linfocitos y celulas de langhans y celulas epitelieales
00000346-PHOTO-2019-09-11-18-10-13.jpg,[Revisar] 11
00000350-PHOTO-2019-09-11-18-13-46.jpg,153
00000351-PHOTO-2019-09-11-18-14-59.jpg,153 || [Revisar] https://docs.google.com/spreadsheets/d/1JzRlHUZtRF8u4-1RhqAXGed6YSHc-h5NE3dsFP84MEk/edit?usp=drivesdk
00000354-PHOTO-2019-09-11-18-21-29.jpg,56: meningoencefalitis purulenta. Se ve foto de neutrofilos y piocitos
00000355-PHOTO-2019-09-11-18-22-48.jpg,12
00000356-PHOTO-2019-09-11-18-23-05.jpg,Información en la imagen 🖼️
00000358-PHOTO-2019-09-11-18-31-52.jpg,56 (40x)
00000359-PHOTO-2019-09-11-18-33-17.jpg,56 (10x)
00000361-PHOTO-2019-09-11-18-34-26.jpg,18: tejido conectivo. Fase inflamatoria de reparación. Se ven neutrofilos y piocitos y yemas vasculares. Acidofilia son las prots que se escapab
00000362-PHOTO-2019-09-11-18-35-23.jpg,131 (10x)
00000363-PHOTO-2019-09-11-18-37-11.jpg,131 (40x)
00000364-PHOTO-2019-09-11-18-38-21.jpg,131
00000365-PHOTO-2019-09-11-18-43-06.jpg,124
00000366-PHOTO-2019-09-11-18-43-12.jpg,141: enteritis hemorragica
00000367-PHOTO-2019-09-11-18-43-23.jpg,124
00000368-PHOTO-2019-09-11-18-48-54.jpg,76
00000369-PHOTO-2019-09-11-18-49-32.jpg,76 (40)
00000370-PHOTO-2019-09-11-18-50-36.jpg,76 (40x) || [Revisar] Eliminaste este mensaje.
00000372-PHOTO-2019-09-11-18-57-26.jpg,207
00000373-PHOTO-2019-09-11-18-58-17.jpg,Información en la imagen 🖼️
00000374-PHOTO-2019-09-11-19-00-10.jpg,207 || [Revisar] Enteritis granulomatosa difusa (?(
00000376-PHOTO-2019-09-11-19-02-31.jpg,152
00000377-PHOTO-2019-09-11-19-03-06.jpg,35: bronconeumonia purulenta (neutrofilos y piocitos dentro del bronquiolo)
00000378-PHOTO-2019-09-11-19-07-04.jpg,53: polioencefalomalacia. Se ven zonas sin neuropilo que son de necrosis licuefactiva
00000379-PHOTO-2019-09-11-19-09-12.jpg,5: trombo. Se ve adherido a la pared del vaso
00000380-PHOTO-2019-09-11-19-09-47.jpg,1
00000381-PHOTO-2019-09-11-19-10-45.jpg,1
00000382-PHOTO-2019-09-11-19-11-08.jpg,1
00000383-PHOTO-2019-09-11-19-12-02.jpg,8: hemosiderina y hemorragia
00000384-PHOTO-2019-09-11-19-13-11.jpg,28
00000385-PHOTO-2019-09-11-19-13-42.jpg,28 || [Revisar] Tc felino
00000387-PHOTO-2019-09-11-19-14-09.jpg,94
00000388-PHOTO-2019-09-11-19-16-12.jpg,9
00000389-PHOTO-2019-09-11-19-16-30.jpg,9
00000390-PHOTO-2019-09-11-19-17-03.jpg,9 (40x)
00000393-PHOTO-2019-09-11-19-18-52.jpg,20: orientacion y crecimiengo infiltrativo
00000394-PHOTO-2019-09-11-19-18-53.jpg,20: polimorfismo
00000395-PHOTO-2019-09-11-19-19-23.jpg,9 bilirrubina
00000396-PHOTO-2019-09-11-19-20-26.jpg,92
00000397-PHOTO-2019-09-11-19-21-07.jpg,24: tc canino. Colageno x cels diferenciadas (fibroma cutaneo)
00000398-PHOTO-2019-09-11-19-23-06.jpg,93: proteinuria dentro de los tubulos y amiloide dentro del glomerulo
00000399-PHOTO-2019-09-11-19-23-12.jpg,85
00000400-PHOTO-2019-09-11-19-23-48.jpg,93: calcificación metastasica
00000401-PHOTO-2019-09-11-19-25-04.jpg,85 a cuarenta
00000402-PHOTO-2019-09-11-19-26-11.jpg,85
00000403-PHOTO-2019-09-11-19-26-23.jpg,32: bronquitis catarral
00000404-PHOTO-2019-09-11-19-29-50.jpg,Linfocitos en la dermis 85
00000405-PHOTO-2019-09-11-19-30-17.jpg,7: esteatosis hepatica. (Se ven vacuolas)
00000406-PHOTO-2019-09-11-19-31-57.jpg,28: fibrosarcoma. Proliferación de Fibroblastos desprganizados
00000407-PHOTO-2019-09-11-19-33-24.jpg,15 Colitis hiperplasica
00000408-PHOTO-2019-09-11-19-33-59.jpg,16
00000409-PHOTO-2019-09-11-19-34-29.jpg,16
00000410-PHOTO-2019-09-11-19-35-10.jpg,59:Dermatitis proliferativa
00000411-PHOTO-2019-09-11-19-37-44.jpg,4
00000412-PHOTO-2019-09-11-19-38-25.jpg,4 || [Revisar] Cuerpos de inclusión intracitoplasmaticpw
00000416-PHOTO-2019-09-11-20-24-34.jpg,Información en la imagen 🖼️
00000419-PHOTO-2019-09-11-20-31-22.jpg,Información en la imagen 🖼️
00000421-PHOTO-2019-09-11-20-34-15.jpg,Información en la imagen 🖼️
00000426-PHOTO-2019-09-11-20-48-37.jpg,Hígado nuez moscada. Congestión hepática crónica || [Revisar] Hepática pasiva crónica *
00000428-PHOTO-2019-09-11-20-50-12.jpg,Antracosis pulmonar
00000429-PHOTO-2019-09-11-20-50-42.jpg,Linfoadenitis abscedativa/ granulomatosa (la de abajo)
00000430-PHOTO-2019-09-11-20-51-55.jpg,Neumonía granulomatosa multifocal a coalescente
00000431-PHOTO-2019-09-11-20-52-51.jpg,Enteritis granulomatosa difusa
00000432-PHOTO-2019-09-11-20-54-13.jpg,Información en la imagen 🖼️
00000433-PHOTO-2019-09-11-20-54-22.jpg,[Revisar] Hipertrofia ventricular izq
00000435-PHOTO-2019-09-11-20-54-57.jpg,[Revisar] Acumulo de glucógeno difuso
00000439-PHOTO-2019-09-11-20-56-08.jpg,Calcificación metadtasica aortica localm extendida
00000440-PHOTO-2019-09-11-20-56-28.jpg,Enteritis hemorrágica difusa (parasitosis)
00000441-PHOTO-2019-09-11-20-57-01.jpg,Neumonía granulomatosa focal || [Revisar] Es más consistente q un absceso (q es más cremoso)
00000443-PHOTO-2019-09-11-21-00-21.jpg,Fibrosis hepática multifocal a coalescente (parasito)
00000444-PHOTO-2019-09-11-21-00-50.jpg,Infarto renal local || [Revisar] Necrosis coagulativa tiene con halo hemorrágico
00000446-PHOTO-2019-09-23-18-25-24.jpg,Información en la imagen 🖼️
00000447-PHOTO-2019-09-23-18-25-24.jpg,Información en la imagen 🖼️
00000448-PHOTO-2019-09-23-18-25-24.jpg,Información en la imagen 🖼️
00000449-PHOTO-2019-09-23-18-25-24.jpg,Información en la imagen 🖼️
00000450-PHOTO-2019-09-23-18-25-24.jpg,Información en la imagen 🖼️
00000451-PHOTO-2019-09-23-18-25-24.jpg,Información en la imagen 🖼️
00000452-PHOTO-2019-09-23-18-25-24.jpg,Información en la imagen 🖼️
00000453-PHOTO-2019-09-23-18-25-24.jpg,Información en la imagen 🖼️
00000454-PHOTO-2019-09-23-18-25-24.jpg,Información en la imagen 🖼️
00000455-PHOTO-2019-09-23-18-25-25.jpg,Información en la imagen 🖼️
00000456-PHOTO-2019-09-23-18-25-25.jpg,Información en la imagen 🖼️
00000457-PHOTO-2019-09-23-18-25-25.jpg,Información en la imagen 🖼️
00000458-PHOTO-2019-09-23-18-25-25.jpg,Información en la imagen 🖼️
00000459-PHOTO-2019-09-23-18-25-25.jpg,Información en la imagen 🖼️
00000460-PHOTO-2019-09-23-18-25-25.jpg,Información en la imagen 🖼️
00000461-PHOTO-2019-09-23-18-25-25.jpg,Información en la imagen 🖼️
00000462-PHOTO-2019-09-23-18-25-25.jpg,Información en la imagen 🖼️
00000463-PHOTO-2019-09-23-18-25-25.jpg,Información en la imagen 🖼️
00000464-PHOTO-2019-09-23-18-25-26.jpg,Información en la imagen 🖼️
00000465-PHOTO-2019-09-23-18-25-26.jpg,Información en la imagen 🖼️
00000466-PHOTO-2019-09-23-18-25-26.jpg,Información en la imagen 🖼️
00000467-PHOTO-2019-09-23-18-25-26.jpg,Información en la imagen 🖼️
00000468-PHOTO-2019-09-23-18-25-26.jpg,Información en la imagen 🖼️
00000469-PHOTO-2019-09-23-18-25-26.jpg,Información en la imagen 🖼️
00000470-PHOTO-2019-09-23-18-25-26.jpg,Información en la imagen 🖼️
00000471-PHOTO-2019-09-23-18-25-27.jpg,Información en la imagen 🖼️
00000472-PHOTO-2019-09-23-18-25-27.jpg,Información en la imagen 🖼️
00000473-PHOTO-2019-09-23-18-25-27.jpg,Información en la imagen 🖼️
00000474-PHOTO-2019-09-23-18-25-27.jpg,Información en la imagen 🖼️
00000475-PHOTO-2019-09-23-18-25-27.jpg,Información en la imagen 🖼️
00000476-PHOTO-2019-09-23-18-25-48.jpg,Información en la imagen 🖼️
00000477-PHOTO-2019-09-23-18-25-48.jpg,Información en la imagen 🖼️
00000478-PHOTO-2019-09-23-18-25-49.jpg,Información en la imagen 🖼️
00000479-PHOTO-2019-09-23-18-25-49.jpg,Información en la imagen 🖼️
00000480-PHOTO-2019-09-23-18-25-49.jpg,Información en la imagen 🖼️
00000481-PHOTO-2019-09-23-18-25-49.jpg,Información en la imagen 🖼️
00000482-PHOTO-2019-09-23-18-25-49.jpg,Información en la imagen 🖼️
00000483-PHOTO-2019-09-23-18-25-49.jpg,Información en la imagen 🖼️
00000484-PHOTO-2019-09-23-18-25-49.jpg,Información en la imagen 🖼️
00000485-PHOTO-2019-09-23-18-25-49.jpg,Información en la imagen 🖼️
00000486-PHOTO-2019-09-23-18-25-50.jpg,Información en la imagen 🖼️
00000487-PHOTO-2019-09-23-18-25-50.jpg,Información en la imagen 🖼️
00000488-PHOTO-2019-09-23-18-25-50.jpg,Información en la imagen 🖼️
00000489-PHOTO-2019-09-23-19-09-53.jpg,Sindrome urémico.
00000490-PHOTO-2019-09-23-19-09-53.jpg,Información en la imagen 🖼️
00000491-PHOTO-2019-09-23-19-09-54.jpg,Información en la imagen 🖼️
00000492-PHOTO-2019-09-23-19-09-54.jpg,Información en la imagen 🖼️
00000493-PHOTO-2019-09-23-19-09-54.jpg,[Revisar] Endocarditis mural necro ulcerativa multifocal-coalescente
00000496-PHOTO-2019-09-23-19-29-38.jpg,Información en la imagen 🖼️
00000497-PHOTO-2019-09-23-19-30-21.jpg,Información en la imagen 🖼️
00000498-PHOTO-2019-09-23-19-30-21.jpg,Información en la imagen 🖼️
00000499-PHOTO-2019-09-23-19-30-21.jpg,Información en la imagen 🖼️
00000500-PHOTO-2019-09-23-19-30-21.jpg,Información en la imagen 🖼️
00000501-PHOTO-2019-09-23-19-30-21.jpg,Información en la imagen 🖼️
00000502-PHOTO-2019-09-23-19-30-21.jpg,Información en la imagen 🖼️
00000503-PHOTO-2019-09-23-19-30-21.jpg,Información en la imagen 🖼️
00000504-PHOTO-2019-09-23-19-30-22.jpg,Información en la imagen 🖼️
00000505-PHOTO-2019-09-23-19-30-22.jpg,Información en la imagen 🖼️
00000506-PHOTO-2019-09-23-19-30-22.jpg,Información en la imagen 🖼️
00000507-PHOTO-2019-09-23-19-32-39.jpg,Información en la imagen 🖼️
00000508-PHOTO-2019-09-23-19-53-31.jpg,Aftosa
00000509-PHOTO-2019-09-23-19-56-49.jpg,Información en la imagen 🖼️
00000510-PHOTO-2019-09-23-19-57-55.jpg,Información en la imagen 🖼️
00000511-PHOTO-2019-09-23-20-12-31.jpg,Enf mlo blanco. La distribución es MULTIFOCAL (SE OLVIDO de cambiarla)
00000512-PHOTO-2019-09-23-20-28-58.jpg,122. Necrosis/acidofilia
00000513-PHOTO-2019-09-23-20-30-10.jpg,Inflamación || [Revisar] Hay coagulativa por la acidofilia y licuefactiva por neutrofilos y pocitos en miocardio.
00000516-PHOTO-2019-09-23-20-32-42.jpg,Información en la imagen 🖼️
00000517-PHOTO-2019-09-23-20-32-42.jpg,224: sindrome uremico || [Revisar] Endocarditis ulcerativa (lesiones en menos: depresiones)
00000519-PHOTO-2019-09-23-20-36-12.jpg,29: calcificación aortica ( se ve el calcio en las fibras elasticas de la tunica media)
00000520-PHOTO-2019-09-23-20-41-22.jpg,201: zonas de necrosis coagulativa
00000521-PHOTO-2019-09-23-20-41-22.jpg,Mucha hemorragia || [Revisar] Necrosis miocardica multifocal a coalescente
00000523-PHOTO-2019-09-23-20-43-33.jpg,"224. Endocardio. Necrosis coagulativa (áreas acidofilas), macrofagos (tipo 2 van a reparar), calcificaciones distroficas (asociadas a la necrosis) y metastasica. Núcleos picnoticos (muriendo) en la foto se puede ver la Úlcera (línea esa)"
00000524-PHOTO-2019-09-23-20-45-45.jpg,201
00000525-PHOTO-2019-09-25-19-34-05.jpg,Información en la imagen 🖼️
00000526-PHOTO-2019-09-25-19-35-16.jpg,Nefritis linfocitaria multifocal (pollo) enfermedad: bronquitis infecciosa aviar || [Revisar] Lo azul son vasos hiperemicos
00000528-PHOTO-2019-09-25-19-39-13.jpg,Vasculitis
00000529-PHOTO-2019-09-25-19-39-36.jpg,Befritis piogranulomatosa
00000530-PHOTO-2019-09-25-20-13-39.jpg,Información en la imagen 🖼️
00000531-PHOTO-2019-09-25-20-25-34.jpg,Información en la imagen 🖼️
00000532-PHOTO-2019-09-25-20-31-27.jpg,154: pielonefritis supurativa. Borde hemorragico
00000533-PHOTO-2019-09-25-20-31-28.jpg,Necrosis coagulativa y netrofilos y piocitos
00000534-PHOTO-2019-09-25-20-31-28.jpg,Neutrofilos y piocitos
00000535-PHOTO-2019-09-25-20-32-46.jpg,119. Necrosis coagulativa tubulos contorneados proximales... Lo de la luz son restos celulares(se diferencia de la ptoteinuria pq es granular) las células q todavía tienen nucleo-> picnosis || [Revisar] Necrosis tubular aguda.
00000537-PHOTO-2019-09-25-20-36-47.jpg,154. Area acidofilas de necrosis coagulativa rodeada de borde inflamatorio.
00000538-PHOTO-2019-09-25-20-38-29.jpg,154 áreas de GR. (Hiperemia/hemorragia)
00000539-PHOTO-2019-09-25-20-38-48.jpg,Idem
00000540-PHOTO-2019-09-25-20-41-17.jpg,154 tubulos con neutrofilos y pocitos (exudado purulento) indica via de llegada del agente.
00000541-PHOTO-2019-09-25-20-43-56.jpg,154 pelvis. Vaso sanguíneo lesionado (causa) con colonia bacteriana
00000542-PHOTO-2019-09-25-20-47-32.jpg,113. Hemorragia e hiperemia. Zonas de inflamacion con necrosis licuefactiva.
00000543-PHOTO-2019-09-25-20-48-16.jpg,113 necrosis licuefactiva y colonias bacterianas.
00000544-PHOTO-2019-09-30-18-10-49.jpg,Información en la imagen 🖼️
00000545-PHOTO-2019-09-30-19-08-35.jpg,Información en la imagen 🖼️
00000546-PHOTO-2019-09-30-19-08-35.jpg,"160: Pleura muy engrosada, exudado, hiperemia"
00000547-PHOTO-2019-09-30-19-10-52.jpg,Infiltrado de celulas inflamatorias (neutrofilos grano de avena) Puntillado basofilo. Que separa necrosis coagulativa (acidofilia y perdida del detalle celular. Conserva la arquitectura)
00000548-PHOTO-2019-09-30-19-11-31.jpg,160: Vasculitis. Responsable de la mecrosis coagultiva (es necrosis isquemica)
00000549-PHOTO-2019-09-30-19-12-34.jpg,Pleuroneumonia contagiosa del cerdo
00000550-PHOTO-2019-09-30-19-15-45.jpg,Información en la imagen 🖼️
00000551-PHOTO-2019-09-30-19-19-52.jpg,Información en la imagen 🖼️
00000552-PHOTO-2019-09-30-19-24-30.jpg,Información en la imagen 🖼️
00000553-PHOTO-2019-09-30-19-27-17.jpg,Preparado 96
00000554-PHOTO-2019-09-30-19-27-18.jpg,Acidofilo: tejido conectivo. Mucha inflamación
00000555-PHOTO-2019-09-30-19-27-50.jpg,Celulas inflamatorias. Alveolos con infiltrado de neutrofilos y macrofagos
00000556-PHOTO-2019-09-30-19-29-05.jpg,Bacteria gram + intracelulat
00000557-PHOTO-2019-09-30-19-29-18.jpg,Información en la imagen 🖼️
00000558-PHOTO-2019-09-30-19-30-14.jpg,Información en la imagen 🖼️
00000559-PHOTO-2019-09-30-19-51-12.jpg,Información en la imagen 🖼️
00000560-PHOTO-2019-09-30-19-55-33.jpg,Información en la imagen 🖼️
00000561-PHOTO-2019-09-30-20-09-23.jpg,Información en la imagen 🖼️
00000562-PHOTO-2019-09-30-20-10-42.jpg,Información en la imagen 🖼️
00000563-PHOTO-2019-09-30-20-13-48.jpg,Edema y enfisema alveolar e intersticial
00000564-PHOTO-2019-09-30-20-14-08.jpg,Complejo respiratorio || [Revisar] Celulas sincitiales multinuckeares. Linfocitos. Hiperplasia. Hipertrofia musc. Infiltracion del intersticio
00000566-PHOTO-2019-09-30-20-17-33.jpg,Información en la imagen 🖼️
00000567-PHOTO-2019-09-30-20-18-47.jpg,Información en la imagen 🖼️
00000568-PHOTO-2019-09-30-20-19-24.jpg,Información en la imagen 🖼️
00000569-PHOTO-2019-09-30-20-19-48.jpg,Información en la imagen 🖼️
00000570-PHOTO-2019-09-30-20-22-53.jpg,Información en la imagen 🖼️
00000571-PHOTO-2019-09-30-20-27-38.jpg,96: neumonia pipgranulomatosa. Gran cant de TC con mucha inflamación
00000572-PHOTO-2019-09-30-20-28-46.jpg,96: Neutrofilos y macrofagos
00000573-PHOTO-2019-09-30-20-30-27.jpg,"131: pleuritis fibronopurukenta difusa. En orden: alveolos, tejido granulación, fibrina y neutrofilos || [Revisar] Alveolos colapsadoa por compresión del exudado"
00000575-PHOTO-2019-09-30-20-32-56.jpg,160: bronconeumonía fibrinosa. necrosis coagulativa
00000576-PHOTO-2019-09-30-20-33-25.jpg,160: fibrina dentro de los alveolos
00000577-PHOTO-2019-09-30-20-33-40.jpg,96. En luz de alveolos células epitelioides. Macrofagos y neutrofilos(piogranuloma)
00000578-PHOTO-2019-09-30-20-36-09.jpg,"131. Tejido de degranulscion (tc, formación vasos sanguíneos, cel inmaduras)"
00000579-PHOTO-2019-09-30-20-37-08.jpg,131. Exudado fibrino purulento. Neutrófilos y fibrina.
00000580-PHOTO-2019-09-30-20-40-13.jpg,167. Bronquiolo. Insterticio engrosado
00000581-PHOTO-2019-09-30-20-41-00.jpg,167. Músculo hiperteofico. Epitelio hiperplasico
00000582-PHOTO-2019-09-30-20-42-10.jpg,167. Memb hialina
00000583-PHOTO-2019-09-30-20-44-08.jpg,167 balt hiperplasico
00000584-PHOTO-2019-09-30-20-44-31.jpg,167 linfocitos en el balt
00000585-PHOTO-2019-09-30-20-45-07.jpg,167 intersticio lleno de células inflamatorias.
00000586-PHOTO-2019-10-02-18-08-50.jpg,38.
00000587-PHOTO-2019-10-02-18-13-33.jpg,38. Apoptosis del epitelio.
00000588-PHOTO-2019-10-02-18-14-03.jpg,38. Inflamación con neutrofilos.
00000589-PHOTO-2019-10-02-18-15-04.jpg,Hiperplasia del epitelio y edema intercelular. || [Revisar] Lleva a la formación de la vesícula.
